clock_region,category,loc,x,y
X0Y0,SLICE,SLICE_X17Y31,17,31
X0Y0,SLICE,SLICE_X17Y32,17,32
X0Y0,SLICE,SLICE_X17Y33,17,33
X0Y0,SLICE,SLICE_X17Y34,17,34
X0Y0,SLICE,SLICE_X17Y35,17,35
X0Y0,SLICE,SLICE_X17Y36,17,36
X0Y0,SLICE,SLICE_X17Y37,17,37
X0Y0,SLICE,SLICE_X17Y38,17,38
X0Y0,SLICE,SLICE_X17Y39,17,39
X0Y0,SLICE,SLICE_X17Y4,17,4
X0Y0,SLICE,SLICE_X17Y40,17,40
X0Y0,SLICE,SLICE_X17Y41,17,41
X0Y0,SLICE,SLICE_X17Y42,17,42
X0Y0,SLICE,SLICE_X17Y43,17,43
X0Y0,SLICE,SLICE_X17Y44,17,44
X0Y0,SLICE,SLICE_X17Y45,17,45
X0Y0,SLICE,SLICE_X17Y46,17,46
X0Y0,SLICE,SLICE_X17Y47,17,47
X0Y0,SLICE,SLICE_X17Y48,17,48
X0Y0,SLICE,SLICE_X17Y49,17,49
X0Y0,SLICE,SLICE_X17Y5,17,5
X0Y0,SLICE,SLICE_X17Y50,17,50
X0Y0,SLICE,SLICE_X17Y51,17,51
X0Y0,SLICE,SLICE_X17Y52,17,52
X0Y0,SLICE,SLICE_X17Y53,17,53
X0Y0,SLICE,SLICE_X17Y54,17,54
X0Y0,SLICE,SLICE_X17Y55,17,55
X0Y0,SLICE,SLICE_X17Y56,17,56
X0Y0,SLICE,SLICE_X17Y57,17,57
